name,danWei,danWei2,danWei3,danWei4,des,year,durYear,money,du,leiBie,leiBie2,ff,js,kj,kj2,bb,fzr,gg,djs,ly,jisu,jisu2,buf,fm,cgxs,zsxk
CO2密封浸没头研制,智通未来技术公司,极限材料科技公司,[],[],研究浸没流场气液固三相界面液体微观浸润机理及边界层牵拉变形诱发CO2宏/微观气泡的初生、发展、消融规律等重大科学问题，突破CO2气刀稳定性控制和纳米气泡快速溶解等关键技术。,2022,5,300,主要项目,使用研究,使用研究二,CO2技术，密封设计，浸没工艺,高效密封，材料开发，工艺优化,国家,印度,3,何宁 15585162303,冯桂芝 贺帆 ,小红县,信息,智能制造与高端装备,精密加工与设备,社发,十个方面一,软件平台,已结项
单晶体管的存算一体化新结构,天域生物工程有限公司,锐意智能系统公司,生物前沿研究院,恒星数据科技公司,突破传统多晶体管门电路、多器件存储设计等关键技术，开发具有自主知识产权、与生产线吻合、基于新型沟道设计的单晶体管存算一体化结构代替原多晶体管组成的逻辑门，实现逻辑“与”门面积降低60%以上，开展在“互联网＋”、仿生电子电路等领域的工程化验证。,2021,5,500,主要项目,使用研究,使用研究三,存算一体，单晶体管，结构设计,新型结构，功能集成，高效计算,国家,法国,2,姜凤英 15258455894,赵明 胡浩 刘英 ,南昌市,生物,智能制造与高端装备,精密加工与设备,社发,十个方面五,研究报告,已结项
55纳米低功耗CMOS成套工艺研发,先锋工程学院,[],[],[],基于55nm CMOS低功耗技术广泛应用于SRAM、eFLASH、汽车电子等领域，自主研发55nm低功耗CMOS成套工艺技术，其目标性能指标达到甚至超过国际先进水平以55nm低功耗CMOS的集成电路技术代中一系列关键的核心技术和相关的物理问题为出发点，围绕集成电路进一步发展中面临的速度、功耗、可靠性及可制造性之间的突出矛盾，从器件结构、栅工程、应力技术、沟道工程以及互连技术等方面进行系统深入的研究，多层次、综合性解决技术难点，关键器件指标饱和电流（Idsat）和漏电（Ioff）达到或超过国际先进水平。主要①开发55nm低功耗CMOS技术代的栅工程工艺模块；②开发源漏结构工艺模块；③应变硅技术的研究；④铜/超低介电常数介质互连工艺；⑤曝光与刻蚀的图形转换技术；⑥55nm低功耗工艺集成技术；⑦工艺建模和IP设计；⑧CMOS产品良率提升技术。,2018,6,300,重点项目,系统研究,系统研究九,CMOS工艺，低功耗设计，纳米技术,先进工艺，功耗优化，性能提升,互联网,互联网九,2,吴建国 14765177161,舒建平 阮桂香 毕淑珍 ,辛集县,材料,新材料,生物医用与纳米材料,社发,十个方面十,学术论文,未结项
基于自旋轨道转矩的新型高速低功耗自旋存储芯片的研制,银河科学技术大学,先锋工程学院,银河科学技术大学,天际大学,研究新型SOT材料，提高磁矩反转的效率和速度。结合依赖于对称性的磁矩反转机理，设计具有微观对称性破缺的人工材料体系，在实验上实现垂直磁矩的室温无外磁场反转。研制基于SOT的磁性隧道结存储单元，以及与CMOS兼容的后道集成途径。主要研发①具有高自旋霍尔角（SH）或者具有较大反对称交换耦合DM相互作用（DMI）的新材料，包括拓扑绝缘体、新型二维材料、外尔半金属等以及重金属掺杂的合金/化合物等；②研究具有微观对称性破缺的人工材料的自旋轨道转矩、及其导致的磁矩反转和效率等；③研究电场、应力等调控自旋轨道耦合强度的方法和手段，新型低功耗信息写入的有效途径；④研制基于SOT的磁性隧道结存储单元：包括器件物理和结构，器件层面的特性展示及结构优化等；⑤研究SOT-MRAM阵列制造的整套关键工艺技术（包括纳米图形化、刻蚀、电极沉积制备等），读写电路的设计与实现，以及与CMOS控制电路集成在一起的低能耗、高密度、高速的自旋存储芯片。,2019,6,1500,一般项目,系统研究,系统研究三,自旋存储，自旋轨道转矩，低功耗,高速存储，功耗优化，自旋技术,国家,美国,3,蔡丽华 18823164591,董帆 林东 李琳 李倩 ,沈阳市,机器人,智能制造与高端装备,精密加工与设备,社发,十个方面八,学术论文,未结项
高性能射频芯片测试关键技术,极限材料科技公司,[],[],[],研究超高频信号高精度检知探测等重大科学问题，突破频综、混频、开关滤波器、射频前端收发链路等关键技术，研制9KHz-6GHz宽频段下各射频子模块的硬件、FPGA、调制解调库及系统软件等。,2022,5,1200,主要项目,自助,自助,射频芯片，测试技术，性能分析,高精度测试，多参数分析，射频优化,国家,印度,3,朱秀云 13339767887,潘丽丽 吴波 安凤英 ,兴城县,空间,智能制造与高端装备,精密加工与设备,社发,十个方面五,研究报告,已结项
嵌入式硬件与智能模型互感知的紧致编译与快速部署工具,先锋工程学院,锐意智能系统公司,光谱研究大学,[],研发嵌入式硬件与智能模型互感知的紧致编译技术与快速部署工具，主要包括①智能模型与硬件资源要素的映射表示与精准适配方法。研究人工智能算子的优化、融合、表示及重组机制，设计能发挥硬件算力的算子多态表示结构，建立可伸缩的算子映射调度方法，解决算法模型和硬件平台之间的表示和精准适配的问题，提升用户友好度和开发效率。②智能模型与嵌入式计算架构的互感知协同优化技术。针对智能模型与嵌入式硬件平台间的适配问题，研究基于硬件指标和资源约束的网络模型结构快速搜索方法，建立能够适应不同硬件平台的模型压缩、量化和重构策略，实现智能模型与计算架构的互感知协同优化，提升神经网络加速器性能。③硬件资源感知的自动代码优化技术与工具。针对主流嵌入式结构及硬件资源特点（含国产处理器），设计适用典型算法和嵌入式平台的算子库和编译器，实现硬件感知的自动代码生成，形成算法的迭代式优化工具链。④面向多领域的应用示范。结合嵌入式智能处理场景，在多个领域完成端边设备典型嵌入式智能处理任务的部署验证和应用示范。,2017,5,200,主要项目,特殊研究,特殊研究,嵌入式硬件，智能模型，编译工具,紧致编译，快速部署，模型优化,互联网,互联网六,3,王超 13288572562,陈磊 张辉 韩红霞 ,马鞍山市,医疗,智能制造与高端装备,精密加工与设备,社发,十个方面七,研究报告,未结项
智能计算系统软件平台设计,量子创新研究所,[],[],[],基于国产智能芯片，研发并开放与智能芯片适配的计算编程模型和配套的软件编程环境，主要开展智能计算编译器、高性能算子库以及编程框架移植三方面研究。,2019,3,400,主要项目,使用研究,使用研究二,计算系统，软件平台，智能设计,系统集成，平台优化，智能计算,国家,英国,2,张宇 13693652246,白桂芳 管亮 徐帆 张兵 张飞 ,杭州市,环境,智能制造与高端装备,精密加工与设备,工业,十个方面八,研究报告,已结项
超大规模预训练模型云平台,银河科学技术大学,新星理工大学,先锋工程学院,环境科学与技术研究所,①研究超大规模预训练模型从训练到应用的全链路技术体系。超大规模模型分布式训练技术方面，研究训练时量化、条件计算、软硬件协同等计算优化方法，提升包括国产芯片在内的异构算力执行效率；开发模型联合优化技术，综合运用模型蒸馏、NAS、推理时量化等方法优化模型规模，提升模型计算效率；开发模型融合定制技术，通过迁移学习、多模态学习，将应用领域知识导入预训练模型，形成场景化定制模型；突破分布式异构算力集群资源调度技术，实现跨集群、跨平台、跨场景的资源调度，提升集群计算效率；研发模型高效推理框架，实现多种终端的高效推理计算。②构建以超大规模预训练模型为核心的人工智能模型体系。构建千亿级参数规模的预训练模型，并在此基础上面向各种数据模态、多种应用场景建设定制化模型体系。③搭建基于超大规模预训练模型的人工智能云服务平台，为智能应用开发者提供标准化的开发SDK和服务接口。④在智能制造、智慧教育、智慧社区、智慧文娱等重点行业选取典型场景开展示范应用。,2023,4,1500,主要项目,系统研究,系统研究九,预训练模型，云平台，模型设计,模型优化，平台集成，高效计算,国家,美国,1,张红梅 13925054265,沈梅 ,雪县,能源,智能制造与高端装备,精密加工与设备,工业,十个方面六,发明专利,已结项
“互联网+”智能家居系统个性化定制设计关键技术及产业化,未来科技大学,银河科学技术大学,天域生物工程有限公司,环境科学与技术研究所, ①“互联网+”智能家居个性化需求获取与转化技术。建立“互联网+”环境智能家居多样模糊需求获取模型，研究个性化需求到设计参数间的分层映射方法。②“互联网+”智能家居系统的个性化功能配置技术。研究“互联网+”智能家居功能配置模板创成技术、可重构功能配置规则构建技术，智能家居系统个性化功能配置技术。③“互联网+”智能家居系统定制设计方案生成技术。研究“互联网+”环境智能家居系统可配置性建模方法，构建智能家居定制方案进化过程重用模型。④“互联网+”智能家居系统形性融合虚拟体验技术。构建智能家居结构形态和性能状态融合的虚拟体验模型，研究“互联网+”智能家居系统形性融合的虚拟体验平台搭建技术。⑤“互联网+”智能家居定制设计平台研发及产业化。搭建“互联网+”个性化智能家居定制设计平台，研发智能家居系统个性化定制设计工具，在50种以上智能家居定制设计中应用验证，开展个性化智能家居系统的产业化推广。,2018,3,1200,主要项目,管理研究,管理研究二,智能家居，个性化设计，系统集成,定制化，智能化，系统优化,互联网,互联网三,2,陈桂芳 18064214575,吴慧 郭旭 王敏 ,上海市,纳米,智能制造与高端装备,精密加工与设备,社发,十个方面二,发明专利,延期结项
高压变电站数字孪生系统关键技术研发及示范 ,锐意智能系统公司,光谱研究大学,锐意智能系统公司,量子创新研究所,针对变电站设备因电、磁、热等多物理场耦合交互所带来的变化过程复杂，内部状态难以监测，灾变损失极大等问题，充分挖掘海量历史数据资源价值，结合变电站设备运行机理、高保真模型及专家经验，研究高压变电站的数字孪生模型及系统基础理论，重点攻克变电站智能巡检、3D场景管理、设备缺陷在线监测、运行状态智能感知、自主学习与知识推理等核心技术，研制高压变电站数字孪生系统并进行示范应用，取得系列自主知识产权成果，实现变电站设备运维管理的虚实交互反馈、协同联动调度、主动预警预测和决策迭代优化。攻关内容包括：①基于机器视觉的变电站关键设备典型缺陷检测技术：变电站视频图像数据预处理算法；变电站关键设备表征缺陷的图像识别技术；变电站关键设备生命周期管理及典型缺陷检测模型。②基于缺陷检测的变电站故障演变机理与风险评估：电力设备典型缺陷与故障的映射机制；基于设备缺陷的复合故障预警技术；变电站关键设备复合故障的综合评价指标体系。③变电站运行状态智能感知的数字孪生系统：数字变电站3D建模与仿真技术；高压变电站数字孪生系统开发；变电站数字孪生系统示范应用。,2020,6,1000,主要项目,管理研究,管理研究二,数字孪生建模 设备缺陷检测 多物理场耦合分析 智能巡检 3D场景管理,高保真模型构建 故障预警与评估 自主学习与知识推理 在线监测技术 多光谱信息融合,国家,巴西,1,高东 15936948353,孙秀芳 ,兵县,农业,智能制造与高端装备,精密加工与设备,社发,十个方面三,软件平台,未结项
面向网络空间的自主可控人工智能安全评测平台 ,未来科技大学,未来科技大学,[],[],针对网络空间领域对人工智能模型多样性、鲁棒性、安全性、标准化的迫切需求，研发基于图牵引的深度神经网络模型自动生成、基于侧信道的深度学习模型信息探测、基于博弈论的深度学习模型对抗攻击-检测-防御-增强、面向深度学习模型鲁棒性-公平性-泛化性的多维度评测标准体系构建、深度学习对抗攻防知识图谱构建、社交空间智能体集群设计等关键技术，开发具有自主知识产权的、运行稳定可靠的面向网络空间的自主可控人工智能安全评测平台，开发相关软件和数据库，开展工程化开发、应用示范和产业化推广，实现在公共互联网安全和电磁空间安全等领域的应用。,2018,3,1000,重点项目,条件研究,条件研究二,深度神经网络生成 侧信道信息探测 对抗攻击与防御 模型鲁棒性评测 智能体集群设计,深度学习安全评测 博弈论攻击检测 对抗攻防知识图谱 多维度评测标准 安全数据库开发,互联网,互联网一,1,李艳 14786143085,马秀荣 宋华 ,银川市,土木,信息通信技术,人工智能,社发,十个方面一,研究报告,延期结项
新一代人工智能电磁隐身斗篷关键技术,新星理工大学,先锋工程学院,[],[],针对隐身衣领域的关键科学问题，开展可重构超薄柔性隐身表面、复杂电磁环境表征/感知平台、人工神经网络隐身芯片等方面的研究，实现新一代人工智能隐身衣关键技术，实现在安防、电磁基建、智能军事等两用产业的应用。,2018,3,200,一般项目,管理研究,管理研究二,电磁隐身，人工智能，技术研发,隐身技术，智能优化，高效设计,互联网,互联网十,2,沈红梅 15930981002,阎玉英 黄婷 徐萍 ,荣县,能源,信息通信技术,人工智能,工业,十个方面七,发明专利,延期结项
基于云编程的工业互联网接入关键技术研发,智通未来技术公司,[],[],[],针对智慧城市、智能工厂等工业互联网场景中海量异构设备接入云服务平台的需求，研究设备接入应用场景快照抽取、表示和描述方法，实现各类异构数据的统一标识、智能感知和数据融合；采用云计算、边缘计算、云可编程等技术构建设备接入云端服务体系，研制云端代码自动生成和分发技术，开发云编程平台，自动生成目标场景适配的设备接入处理代码，实现通信协议按需配置、动态加载和设备“即插即用”，具备云端交叉编译和跨平台自动部署能力；研究设备通信协议封装、重组、数据采集和控制策略重构方法，开发云端和移动端调试工具，实现设备接入在线、离线等多种调试方法。,2020,3,1000,一般项目,使用研究,使用研究一,云计算，物联网集成,边缘计算，数据安全技术,互联网,互联网八,1,刘秀英 18699242057,朱玉 杨海燕 张莹 ,冬梅市,空间,智能制造与高端装备,精密加工与设备,工业,十个方面七,学术论文,未结项
工业级云端CAD软件平台关键技术研究及应用,深空探测研究中心,[],[],[],研究工业级云端CAD软件平台，包括：①参数化建筑设计系统：研究开放的基础构件设计方式，建立模型与图纸双向关联体系，开发2D图形引擎，支持CAD图纸识别，实现2D/3D修改双向联动，提供可扩展的清单算量报价系统；②几何造型技术：三维几何建模、约束求解、体网格生成、基于有限元方法的力学仿真求解、基于力学仿真的拓扑优化等关键技术，在功能上满足产业设计建模、仿真验证的需求，在算法上保证精确度、性能和稳定性，在云平台上平衡造型效率与数据传输速度，提供高效的前后端解决方案；③大场景可视化技术：云端实时交互三维图形引擎，实现可编辑三维对象绘制，光照和材质处理，特效管理与渲染（粒子系统，自然模拟），LOD管理等；④云端一体化设计平台：建立通用的数据格式和输出端口，实现设计到施工数据与生产对接，通过智能算法进行大规模定制设计，实现基于用户个性化需求的快速设计迭代，优化平台的架构和开放形式，打通用户主导的生产渠道，最终形成提供“设计-生产-施工”一体化解决方案、且可拓展开放的云设计平台，实现家居、建筑、房产等领域的应用。,2021,4,200,一般项目,管理研究,管理研究四,CAD软件设计，云端架构,高效渲染技术，分布式计算,国家,英国,1,侯桂香 15662988062,韦明 王玉珍 ,海门市,纳米,智能制造与高端装备,精密加工与设备,社发,十个方面七,发明专利,延期结项
金融级分布式国产数据库,新星理工大学,[],[],[],针对金融行业数据库系统稳定性等需求，研究分布式、多引擎架构、全面的SQL和索引支持、性能优化、大规模数据中心和数据库集群的运维等关键技术，开发完全自主可控的分布式关系型数据库管理系统，系统具备分布式、计算存储分离的架构，支持多存储引擎，以ISO SQL标准为主、Oracle语法兼容为辅的语法解析器和优化器，支持多可靠性和一致性，具有完善的迁移工具等特性。开展工程化开发和应用示范，实现证券、期货和基金等金融领域的应用。,2018,3,300,一般项目,自助,自助,分布式系统，数据库设计,高效高效数据同步，事务处理,国家,印度,3,杨莹 14709568044,叶秀兰 杨洋 王红霞 郭明 ,桂英县,土木,智能制造与高端装备,精密加工与设备,工业,十个方面五,发明专利,已结项
基于云服务的模型驱动复杂装备系统设计软件研发,新星理工大学,[],[],[],针对复杂装备系统设计软件工具市场需求，主要研究：①基于云服务的模型驱动复杂装备系统设计软件体系架构与统一建模语言的语义实现；②标准系统建模语言图形要素的控件化与图形交互框架设计；③层次化SysML图形要素和模型要素语义一致性同步维护；④复杂大规模模型持久化与数据恢复；⑤面向云服务的多用户协同设计与冲突处理；⑥面向行业应用领域的SysML扩展机制研究。,2020,5,1200,主要项目,系统研究,系统研究三,模型驱动设计，云服务,实时仿真，高级高级系统集成,国家,巴西,1,刁淑珍 14759020027,朱瑜 左志强 徐桂芝 韦春梅 高兰英 ,旭市,环境,智能制造与高端装备,精密加工与设备,社发,十个方面八,学术论文,延期结项
跨境电商贸易智能多维支付风险管理决策系统研发与应用,智通未来技术公司,银河科学技术大学,[],[],研究构建欺诈识别与合规反洗钱的智能多维风险管理体系，提升跨境贸易事前、事中、事后的风险管理水平，推动和引领省内传统支付、金融、电商等产业进行数字化转型。主要包括：①基于图像识别与文本处理领域的机器学习技术的交易事前风险管理研究与应用。基于机器学习的自动化KYB；基于NLP的商品类目识别及店铺分类；基于图像处理的商品合规性识别： 运用CNN算法对商品图片做关键信息提取，基于合规性策略模型检测店铺商品是否合规。②基于关联图谱与机器人技术的交易事中风险管理研究与应用。基于机器学习的贸易真实性验真; 基于时间序列领域深度学习的GMV预测; 基于关联图谱的实时交易欺诈识别：应用关联图谱抽取图特征，通过表示学习、图嵌入方法训练相关反欺诈模型;基于RPA+AI的机器人日常巡检及预警。③基于语音识别与复杂网络分析技术的交易事后风险管理研究与应用。 基于智能客服的可疑案件核查：利用知识图谱技术，设计多模态的对话系统，完成对可疑案件的核查;基于复杂网络的风险溯源及潜在风险挖掘;基于AUTO ML的风控模型全生命周期的管理。,2017,3,1500,一般项目,系统研究,系统研究六,支付系统，风险管理,高级高级数据分析，机器学习,国家,印度,3,秦雪 13267380590,杨瑜 程玉珍 金琳 张畅 王淑珍 ,凤兰县,交通,智能制造与高端装备,精密加工与设备,社发,十个方面八,发明专利,延期结项
高精度图形感知和建模装置,生物前沿研究院,[],[],[],研究高精度图形对象感知与建模等重大科学问题，突破大规模光源高精度并行控制等关键技术。开发出能支持包括金属、布料等复杂表观材质的高效高精度扫描装备，实现相应的国产化配套应用。,2018,6,200,重点项目,系统研究,系统研究十,图形感知，高级高级建模技术,高精度高精度传感器技术，图像处理,国家,俄罗斯,1,陈梅 15800587568,康柳 ,玉市,生物,智能制造与高端装备,精密加工与设备,社发,十个方面九,发明专利,未结项
自主内核云操作系统,新星理工大学,科锐创新科技有限公司,恒星数据科技公司,极限材料科技公司,研究并解决国产服务器及桌面操作系统长期依赖国外开源项目的关键核心技术问题，突破多芯片架构深度优化、资源隔离、安全容器、微内核及软件定义内核等方面的核心技术。开发操作系统迁移工具，能够更加高效、稳定、安全的将客户现有业务系统迁移到应对方案Anolis OS之上，并通过自动化测试。,2023,3,500,一般项目,特殊研究,特殊研究,操作系统，内核开发,先进先进虚拟化技术，云计算,互联网,互联网五,2,王志强 15558561990,周莹 张秀云 胡桂兰 陈淑兰 ,西安市,交通,智能制造与高端装备,精密加工与设备,工业,十个方面四,学术论文,已结项
支撑大规模波动性可再生能源稳定发电的高温热化学储能材料及系统构建与示范,未来科技大学,未来能源研究所,[],[],研究基于廉价矿石的金属氧化物复合储能材料制备方法、成型复合储热材料多次循环的反应特性及结构稳定性。研究热化学储能模块内部与空气介质之间的热质传递规律、热化学储热系统的运行控制方案，阐明热化学储能系统吸放热调控方法。针对可再生能源发电系统及其对储能的需求，提出热化学储能发电方案，掌握规模化复合储能发电系统的运行规律。建立百千瓦级高温金属氧化物复合储能系统，耦合燃气轮机发电试验装置，开展中试示范研究。,2016,4,300,一般项目,条件研究,条件研究一,先进先进储能技术，高端高端材料科学,热化学系统，能量管理,国家,俄罗斯,2,高柳 18928699259,陈秀华 张彬 张兵 王海燕 张小红 ,英县,农业,新材料,显示与储能材料,社发,十个方面一,发明专利,未结项
超宽频磁电功能材料及产业化,新星理工大学,未来能源研究所,[],[],研究不同成分和结构对易面型金属软磁材料高频磁性影响，掌握关键参数对合金微结构及相组成的作用，突破易面型金属软磁材料关键制备技术。建立合金各向异性与高频磁性内在联系，优化各向异性调控技术。揭示易面型金属软磁材料显微组织、磁畴结构和各向异性的关联，明确其高磁导率和高截止频率的物理机制。开展适用于不同易面型金属软磁材料体系的绝缘包覆技术及其对高频功耗抑制作用的研究，进一步拓宽易面型金属软磁材料的应用频率。,2020,6,1200,重点项目,条件研究,条件研究二,高端高端材料科学，磁电功能,前沿前沿产业化技术，高效工艺,互联网,互联网十,1,李秀华 14585043257,孙琳 吕荣 安颖 吴凤英 王坤 ,昆明县,能源,智能制造与高端装备,精密加工与设备,工业,十个方面三,发明专利,延期结项
